Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
539;Darkest Hour;2017;Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski;Nominee;2017;125;Biography,Drama,History;Certified-Fresh;84.0;312.0;Upright;82.0;14004.0
540;Dunkirk;2017;Emma Thomas and Christopher Nolan;Nominee;2017;106;Action,Drama,History;Certified-Fresh;92.0;453.0;Upright;81.0;68676.0
541;Get Out;2017;Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele;Nominee;2017;104;Horror,Mystery,Thriller;Certified-Fresh;98.0;386.0;Upright;86.0;75461.0
542;Lady Bird;2017;Scott Rudin, Eli Bush, and Evelyn O'Neill;Nominee;2017;94;Comedy,Drama;Certified-Fresh;99.0;391.0;Upright;79.0;22610.0
543;Phantom Thread;2017;JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi;Nominee;2017;130;Drama,Romance;;;;;;
544;The Post;2017;Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger;Nominee;2017;116;Drama;;;;;;
545;Three Billboards Outside Ebbing, Missouri;2017;Graham Broadbent, Pete Czernin, and Martin McDonagh;Nominee;2017;115;Comedy,Crime,Drama;Certified-Fresh;90.0;405.0;Upright;87.0;22869.0
546;Green Book;2018;Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga;Winner;2018;130;Biography,Comedy,Drama;Certified-Fresh;77.0;354.0;Upright;91.0;10093.0
547;Black Panther;2018;Kevin Feige;Nominee;2018;134;Action,Adventure,Sci-Fi;Certified-Fresh;96.0;512.0;Upright;79.0;88211.0
548;BlacKkKlansman;2018;Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee;Nominee;2018;135;Biography,Comedy,Crime;Certified-Fresh;96.0;436.0;Upright;83.0;11251.0
549;Bohemian Rhapsody;2018;Graham King;Nominee;2018;134;Biography,Drama,Music;Fresh;60.0;403.0;Upright;85.0;23296.0
550;The Favourite;2018;Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos;Nominee;2018;119;Biography,Comedy,Drama;Certified-Fresh;93.0;405.0;Upright;69.0;7189.0
551;Roma;2018;Gabriela RodrÃ­guez and Alfonso CuarÃ³n;Nominee;2018;135;Drama;Certified-Fresh;96.0;387.0;Upright;72.0;5521.0
552;A Star Is Born;2018;Bill Gerber, Bradley Cooper, and Lynette Howell Taylor;Nominee;2018;136;Drama,Music,Romance;Certified-Fresh;90.0;517.0;Upright;79.0;20442.0
553;Vice;2018;Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick;Nominee;2018;132;Biography,Comdey,Drama;Fresh;65.0;359.0;Upright;60.0;5061.0
554;Parasite;2019;Kwak Sin-ae and Bong Joon-ho;Winner;2019;132;Comedy,Drama,Thriller;;;;;;
555;1917;2019;Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall;Nominee;2019;119;Action,Drama,War;;;;;;
556;Ford v Ferrari;2019;Peter Chernin, Jenno Topping, and James Mangold;Nominee;2019;152;Action,Biography,Drama;;;;;;
557;The Irishman;2019;Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff;Nominee;2019;209;Biography,Crime,Drama;Certified-Fresh;96.0;439.0;;86.0;1057.0
558;Jojo Rabbit;2019;Carthew Neal, Taika Waititi, and Chelsea Winstanley;Nominee;2019;108;Comedy,Drama,War;;;;;;
559;Joker;2019;Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff;Nominee;2019;122;Crime,Drama,Thriller;Fresh;68.0;574.0;;88.0;66303.0
560;Little Women;2019;Amy Pascal;Nominee;2019;135;Drama,Romance;;;;;;
561;Marriage Story;2019;Noah Baumbach and David Heyman;Nominee;2019;137;Comedy,Drama,Romance;Certified-Fresh;94.0;381.0;;85.0;184.0
562;Once Upon a Time in Hollywood;2019;David Heyman, Shannon McIntosh, and Quentin Tarantino;Nominee;2019;161;Comedy,Drama;;;;;;
563;Nomadland;2020;Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and ChloÃ© Zhao;Nominee;2020;107;Drama;;;;;;
564;The Father;2020;David Parfitt, Jean-Louis Livi, and Philippe Carcassonne;Nominee;2020;97;Drama;;;;;;
565;Judas and the Black Messiah;2020;Shaka King, Charles D. King, and Ryan Coogler;Nominee;2021;126;Biography,Drama,History;;;;;;
566;Mank;2020;CeÃ¡n Chaffin, Eric Roth, and Douglas Urbanski;Nominee;2020;131;Biography,Comedy,Drama;;;;;;
567;Minari;2020;Christina Oh;Nominee;2020;115;Drama;;;;;;
568;Promising Young Woman;2020;Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara;Nominee;2020;113;Crime,Drama,Thriller;;;;;;
569;Sound of Metal;2020;Bert Hamelinck and Sacha Ben Harroche;Nominee;2019;120;Drama,Music;;;;;;
570;The Trial of the Chicago 7;2020;Marc Platt and Stuart M. Besser;Nominee;2020;129;Drama,History,Thriller;;;;;;
