Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
421;Chocolat;2000;David Brown, Kit Golden, and Leslie Holleran;Nominee;2000;121;Drama,Romance;Fresh;62.0;117.0;Upright;83.0;328939.0
422;Crouching Tiger, Hidden Dragon;2000;William Kong, Hsu Li-kong, and Ang Lee;Nominee;2000;120;Action,Adventure,Fantasy;;;;;;
423;Erin Brockovich;2000;Danny DeVito, Michael Shamberg, and Stacey Sher;Nominee;2000;131;Biography,Drama;Certified-Fresh;84.0;146.0;Upright;81.0;418647.0
424;Traffic;2000;Edward Zwick, Marshall Herskovitz, and Laura Bickford;Nominee;2000;147;Crime,Drama,Thriller;Certified-Fresh;93.0;161.0;Upright;85.0;190385.0
425;A Beautiful Mind;2001;Brian Grazer and Ron Howard;Winner;2001;135;Biography,Drama;Certified-Fresh;74.0;213.0;Upright;93.0;490923.0
426;Gosford Park;2001;Robert Altman, Bob Balaban, and David Levy;Nominee;2001;131;Comedy,Drama,Mystery;Certified-Fresh;86.0;160.0;Upright;78.0;48527.0
427;In the Bedroom;2001;Graham Leader, Ross Katz, and Todd Field;Nominee;2001;131;Crime,Drama;Certified-Fresh;93.0;138.0;Upright;81.0;20122.0
428;The Lord of the Rings: The Fellowship of the Ring;2001;Peter Jackson, Fran Walsh, and Barrie M. Osborne;Nominee;2001;178;Action,Adventure,Drama;Certified-Fresh;91.0;233.0;Upright;95.0;1355751.0
429;Moulin Rouge!;2001;Martin Brown, Baz Luhrmann, and Fred Baron;Nominee;2001;127;Drama,Musical,Romance;Certified-Fresh;76.0;199.0;Upright;89.0;505231.0
430;Chicago;2002;Martin Richards;Winner;2002;113;Comedy,Crime,Musical;Certified-Fresh;86.0;257.0;Upright;83.0;439544.0
431;Gangs of New York;2002;Alberto Grimaldi and Harvey Weinstein;Nominee;2002;167;Crime,Drama;Certified-Fresh;73.0;211.0;Upright;81.0;294323.0
432;The Hours;2002;Scott Rudin and Robert Fox;Nominee;2002;110;Drama,Romance;Certified-Fresh;80.0;194.0;Upright;84.0;85936.0
433;The Lord of the Rings: The Two Towers;2002;Barrie M. Osborne, Fran Walsh, and Peter Jackson;Nominee;2002;179;Action,Adventure,Drama;Certified-Fresh;95.0;255.0;Upright;95.0;1341428.0
434;The Pianist;2002;Roman Polanski, Robert Benmussa, and Alain Sarde;Nominee;2002;150;Biography,Drama,Music;Certified-Fresh;95.0;182.0;Upright;96.0;253230.0
435;The Lord of the Rings: The Return of the King;2003;Barrie M. Osborne, Peter Jackson, and Fran Walsh;Winner;2003;201;Action,Adventure,Drama;Certified-Fresh;93.0;275.0;Upright;86.0;34679773.0
436;Lost in Translation;2003;Ross Katz and Sofia Coppola;Nominee;2003;102;Comedy,Drama;;;;;;
437;Master and Commander: The Far Side of the World;2003;Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson;Nominee;2003;138;Action,Adventure,Drama;Certified-Fresh;85.0;217.0;Upright;80.0;141077.0
438;Mystic River;2003;Robert Lorenz, Judie G. Hoyt, and Clint Eastwood;Nominee;2003;138;Crime,Drama,Mystery;Certified-Fresh;88.0;206.0;Upright;89.0;203535.0
439;Seabiscuit;2003;Kathleen Kennedy, Frank Marshall, and Gary Ross;Nominee;2003;140;Drama,History,Sport;Certified-Fresh;78.0;205.0;Upright;76.0;118428.0
440;Million Dollar Baby;2004;Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg;Winner;2004;132;Drama,Sport;Certified-Fresh;91.0;268.0;Upright;90.0;405053.0
441;The Aviator;2004;Michael Mann and Graham King;Nominee;2004;170;Biography,Drama;Certified-Fresh;86.0;224.0;Upright;79.0;207578.0
442;Finding Neverland;2004;Richard N. Gladstein and Nellie Bellflower;Nominee;2004;106;Biography,Drama,Family;Certified-Fresh;83.0;208.0;Upright;87.0;465413.0
443;Ray;2004;Taylor Hackford, Stuart Benjamin, and Howard Baldwin;Nominee;2004;152;Biography,Drama,Music;Certified-Fresh;80.0;206.0;Upright;87.0;214558.0
444;Sideways;2004;Michael London;Nominee;2004;127;Comedy,Drama,Romance;Certified-Fresh;97.0;233.0;Upright;79.0;197689.0
445;Crash;2005;Paul Haggis and Cathy Schulman;Winner;2004;112;Crime,Drama,Thriller;Certified-Fresh;74.0;241.0;Upright;88.0;442331.0
